Semaine,1,2,3,4,5,6,7,8,9,10
S34,F,F,F,F,,,,,,
S35,C,C,C,C,C,C,C,C,C,C
S36,C,C,C,C,C,C,C,C,C,C
S37,C,,,C,,,,C,C,C
S38,C,,,C,,,,C,,C
S39,C,,,C,,,,C,,C
S40,,,,,,,,,,
S41,,,,,,,,,,
S42,,,,,,,,,,
S43,,,,,,,,,,
S44,,,,,,,,,,
S45,,,,,,,,,,
S46,,,,,F,F,,,,
S47,,,,,,,,,,
S48,,,,,,,,,,
S49,,,,,,,,,,
S50,,,,,E,E,,,E,E
S51,,,,,,,,,,
S52,,,,,,,F,F,F,F
S53,F,F,F,F,F,F,F,F,F,F
S1,,,,,,,,,,
S2,,,,,,,,,,
S3,,,,,,,,,,
S4,,,,,,,,,,
S5,,,,,,,,,,
S6,,,,,,,,,,
S7,,,,,,,,,,
S8,,,,,,,,,,
S9,,,,,,,,,,
S10,,,,,,,,,,
S11,,,,,,,,,,
S12,,,,,,,,,,
S13,F,F,,,,,,,,
S14,,,,,,,,,,
S15,,,,,,,,,,
S16,,,,,,,,,,
S17,,,,,,,,,,
S18,,,,,,,F,F,,
S19,,,,,,,,,,
S20,F,F,,,,,,,,
S21,,,,,,,,,,
S22,,,,,,,,,,
S23,,,,,,,,,,
S24,,,,,,,,,,
S25,,,,,,,,,,
S26,,,,,,,,,,
S27,,,,,,,,,,
S28,,,,,F,F,,,,
S29,,,,,,,,,,
S30,,,,,,,F,F,F,F
S31,F,F,F,F,F,F,F,F,F,F
S32,F,F,F,F,F,F,F,F,F,F
S33,F,F,F,F,F,F,,,,